source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Side mirror.001,99,Side mirror.001,body,False,"[0.26000016927719116, 0.20000000298023224, 0.1400001496076584]","[0.7499998658895493, 1.7600000128149986, 0.9099999293684959]","[1.0100000351667404, 1.9600000157952309, 1.0500000789761543]",4512,2208
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Six spoke alloy wheel,105,Six spoke alloy wheel,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[-1.9000000059604645, 0.45000001788139343, 0.8500000163912773]","[-1.3400000035762787, 1.0100000202655792, 0.9900000169873238]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Six spoke alloy wheel.001,114,Six spoke alloy wheel.001,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[-1.9000000059604645, 0.45000001788139343, -0.9900000169873238]","[-1.3400000035762787, 1.0100000202655792, -0.8500000163912773]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Six spoke alloy wheel.002,123,Six spoke alloy wheel.002,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[1.2799999415874481, 0.45000001788139343, 0.8500000163912773]","[1.839999943971634, 1.0100000202655792, 0.9900000169873238]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Six spoke alloy wheel.003,132,Six spoke alloy wheel.003,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[1.2799999415874481, 0.45000001788139343, -0.9900000169873238]","[1.839999943971634, 1.0100000202655792, -0.8500000163912773]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac door skin,75,Sport Trac door skin,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[0.09999999403953552, 0.9100000262260437, 0.8449999950826168]","[0.8599999845027924, 1.7700000405311584, 0.91499999538064]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac door skin.001,78,Sport Trac door skin.001,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[0.09999999403953552, 0.9100000262260437, -0.91499999538064]","[0.8599999845027924, 1.7700000405311584, -0.8449999950826168]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac door skin.002,81,Sport Trac door skin.002,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[-0.7299999892711639, 0.9100000262260437, 0.8449999950826168]","[0.030000001192092896, 1.7700000405311584, 0.91499999538064]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac door skin.003,84,Sport Trac door skin.003,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[-0.7299999892711639, 0.9100000262260437, -0.91499999538064]","[0.030000001192092896, 1.7700000405311584, -0.8449999950826168]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac tire,131,Sport Trac tire,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[0.9999999403953552, 0.17000001668930054, -1.0900000184774399]","[2.119999945163727, 1.2900000214576721, -0.7500000149011612]",5120,2560
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac tire.001,104,Sport Trac tire.001,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[-2.1800000071525574, 0.17000001668930054, 0.7500000149011612]","[-1.0600000023841858, 1.2900000214576721, 1.0900000184774399]",5120,2560
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac tire.002,113,Sport Trac tire.002,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[-2.1800000071525574, 0.17000001668930054, -1.0900000184774399]","[-1.0600000023841858, 1.2900000214576721, -0.7500000149011612]",5120,2560
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Sport Trac tire.003,122,Sport Trac tire.003,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[0.9999999403953552, 0.17000001668930054, 0.7500000149011612]","[2.119999945163727, 1.2900000214576721, 1.0900000184774399]",5120,2560
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Tailgate,101,Tailgate,body,False,"[0.07000000029802322, 0.800000011920929, 1.559999942779541]","[-2.5549999810755253, 0.9799999892711639, -0.7799999713897705]","[-2.484999980777502, 1.780000001192093, 0.7799999713897705]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Technical ground,144,Technical ground,body,True,"[6.599999904632568, 0.05999999865889549, 4.400000095367432]","[-3.299999952316284, 0.020000001415610313, -2.200000047683716]","[3.299999952316284, 0.0800000000745058, 2.200000047683716]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Throttle body,4,Throttle body,body,False,"[0.1599999964237213, 0.20000000298023224, 0.20000000298023224]","[1.4000000208616257, 1.8800000175833702, -0.10000000149011612]","[1.560000017285347, 2.0800000205636024, 0.10000000149011612]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Tire,18,Tire,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[1.0199999809265137, 0.19000005722045898, -1.070000022649765]","[2.0799999237060547, 1.25, -0.7500000298023224]",2304,1152
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Tire.001,12,Tire.001,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[-2.149999976158142, 0.19000005722045898, 0.7500000298023224]","[-1.090000033378601, 1.25, 1.070000022649765]",2304,1152
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Tire.002,14,Tire.002,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[-2.149999976158142, 0.19000005722045898, -1.070000022649765]","[-1.090000033378601, 1.25, -0.7500000298023224]",2304,1152
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Tire.003,16,Tire.003,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[1.0199999809265137, 0.19000005722045898, 0.7500000298023224]","[2.0799999237060547, 1.25, 1.070000022649765]",2304,1152
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Valve cover,0,Valve cover,body,False,"[0.9200000166893005, 0.1599999964237213, 0.23999999463558197]","[0.5799999535083771, 1.599999949336052, 0.15000001341104507]","[1.4999999701976776, 1.7599999457597733, 0.39000000804662704]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Valve cover.001,1,Valve cover.001,body,False,"[0.9200000166893005, 0.1599999964237213, 0.23999999463558197]","[0.5799999535083771, 1.599999949336052, -0.39000000804662704]","[1.4999999701976776, 1.7599999457597733, -0.15000001341104507]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Vertical tail lamp,102,Vertical tail lamp,body,False,"[0.07000000029802322, 0.5, 0.25999999046325684]","[-2.5900000669062138, 1.25, 0.4599999785423279]","[-2.5200000666081905, 1.75, 0.7199999690055847]",24,12
