source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
Wheel center cap.001,37,Cylinder.073,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[-1.7050000056624413, 0.6450000181794167, -1.0091999918222427]","[-1.535000003874302, 0.815000019967556, -0.8491999953985214]",288,188
Wheel center cap.002,28,Cylinder.075,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[1.4749999418854713, 0.6450000181794167, 0.8491999953985214]","[1.6449999436736107, 0.815000019967556, 1.0091999918222427]",288,188
Wheel center cap.003,19,Cylinder.077,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[1.4749999418854713, 0.6450000181794167, -1.0091999918222427]","[1.6449999436736107, 0.815000019967556, -0.8491999953985214]",288,188
Wheel lug,145,Cylinder.003,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.5190525576472282, 0.6980000287294388, 0.8940999861806631]","[-1.4809474423527718, 0.7420000284910202, 0.9440999869257212]",36,20
Wheel lug.001,144,Cylinder.004,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.8121267706155777, 0.8940999861806631]","[-1.5638653710484505, 0.8561267703771591, 0.9440999869257212]",36,20
Wheel lug.002,143,Cylinder.005,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.7685342580080032, 0.8940999861806631]","[-1.6980294659733772, 0.8125342577695847, 0.9440999869257212]",36,20
Wheel lug.003,142,Cylinder.006,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.6274657994508743, 0.8940999861806631]","[-1.6980294659733772, 0.6714657992124557, 0.9440999869257212]",36,20
Wheel lug.004,141,Cylinder.007,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.5838732272386551, 0.8940999861806631]","[-1.5638653710484505, 0.6278732270002365, 0.9440999869257212]",36,20
Wheel lug.005,140,Cylinder.011,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.5190525576472282, 0.6980000287294388, -0.9440999869257212]","[-1.4809474423527718, 0.7420000284910202, -0.8940999861806631]",36,20
Wheel lug.006,139,Cylinder.012,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.8121267706155777, -0.9440999869257212]","[-1.5638653710484505, 0.8561267703771591, -0.8940999861806631]",36,20
Wheel lug.007,138,Cylinder.013,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.7685342580080032, -0.9440999869257212]","[-1.6980294659733772, 0.8125342577695847, -0.8940999861806631]",36,20
Wheel lug.008,137,Cylinder.014,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.6274657994508743, -0.9440999869257212]","[-1.6980294659733772, 0.6714657992124557, -0.8940999861806631]",36,20
Wheel lug.009,136,Cylinder.015,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.5838732272386551, -0.9440999869257212]","[-1.5638653710484505, 0.6278732270002365, -0.8940999861806631]",36,20
Wheel lug.010,135,Cylinder.019,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.6509473994374275, 0.6980000287294388, 0.8940999861806631]","[1.689052514731884, 0.7420000284910202, 0.9440999869257212]",36,20
Wheel lug.011,134,Cylinder.020,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.8121267706155777, 0.8940999861806631]","[1.6061345860362053, 0.8561267703771591, 0.9440999869257212]",36,20
Wheel lug.012,133,Cylinder.021,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.7685342580080032, 0.8940999861806631]","[1.4719704911112785, 0.8125342577695847, 0.9440999869257212]",36,20
Wheel lug.013,132,Cylinder.022,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.6274657994508743, 0.8940999861806631]","[1.4719704911112785, 0.6714657992124557, 0.9440999869257212]",36,20
Wheel lug.014,131,Cylinder.023,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.5838732272386551, 0.8940999861806631]","[1.6061345860362053, 0.6278732270002365, 0.9440999869257212]",36,20
Wheel lug.015,130,Cylinder.027,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.6509473994374275, 0.6980000287294388, -0.9440999869257212]","[1.689052514731884, 0.7420000284910202, -0.8940999861806631]",36,20
Wheel lug.016,129,Cylinder.028,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.8121267706155777, -0.9440999869257212]","[1.6061345860362053, 0.8561267703771591, -0.8940999861806631]",36,20
Wheel lug.017,128,Cylinder.029,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.7685342580080032, -0.9440999869257212]","[1.4719704911112785, 0.8125342577695847, -0.8940999861806631]",36,20
Wheel lug.018,127,Cylinder.030,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.6274657994508743, -0.9440999869257212]","[1.4719704911112785, 0.6714657992124557, -0.8940999861806631]",36,20
